Time,Symbol,Direction,Spread (%)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Sun Jan 11 12:31:55 2026,BTC/USDT,Kraken -> Binance,0.0387%
Sun Jan 11 12:31:57 2026,BTC/USDT,Kraken -> Binance,0.0097%
Sun Jan 11 12:34:28 2026,BTC/USDT,Binance -> Kraken,0.0160%
Sun Jan 11 12:41:01 2026,BTC/USDT,Kraken -> Binance,0.0097%
Sun Jan 11 12:45:12 2026,BTC/USDT,Binance -> Kraken,0.0149%
Sun Jan 11 12:45:14 2026,BTC/USDT,Binance -> Kraken,0.0149%
Sun Jan 11 12:45:16 2026,BTC/USDT,Binance -> Kraken,0.0149%
Sun Jan 11 12:45:19 2026,BTC/USDT,Binance -> Kraken,0.0149%
Sun Jan 11 12:52:48 2026,BTC/USDT,Kraken -> Binance,0.0115%
Sun Jan 11 12:56:16 2026,BTC/USDT,Kraken -> Binance,0.0100%
